Data da Venda,Código Produto,Nome Produto,Garantia Extendida,Categoria do Produto,Quantidade Vendido,Valor Unitário,Valor Total da Venda,Cidade da Loja,País da Loja,Vendedor
2023-12-22,35,Computador,Não,Computadores,2,2806.0,5612.0,New York,Estados Unidos,Bob
2023-03-23,60,Cadeira,Não,Móveis,6,312.0,1872.0,Porto,Portugal,Sofia
2023-12-15,10,Mouse,Sim,Periféricos,9,122.0,1098.0,Los Angeles,Estados Unidos,Bob
2023-08-29,10,Mouse,Sim,Periféricos,9,114.0,1026.0,Los Angeles,Estados Unidos,John
2023-12-16,50,Mesa,Não,Móveis,4,549.0,2196.0,Madrid,Espanha,David
2023-06-28,23,Cabo HDMI,Sim,Periféricos,6,44.0,264.0,Madrid,Espanha,David
2023-07-19,70,Licença Windows,Sim,Software,5,1008.0,5040.0,São Paulo,Brasil,Carlos
2023-07-09,11,Teclado,Sim,Periféricos,9,168.0,1512.0,Belo Horizonte,Brasil,Carlos
2023-10-05,96,Placa de Vídeo,Sim,Periféricos,4,2596.0,10384.0,Los Angeles,Estados Unidos,Bob
2023-07-11,95,Memória,Sim,Armazenamento,3,358.4,1075.2,Los Angeles,Estados Unidos,Alice
2024-02-14,20,Monitor,Sim,Monitores,10,816.0,8160.0,Barcelona,Espanha,María
2023-09-04,95,Memória,Sim,Armazenamento,5,371.2,1856.0,New York,Estados Unidos,Alice
2023-04-12,50,Mesa,Não,Móveis,4,477.0,1908.0,Rio de Janeiro,Brasil,Ana
2024-03-13,20,Monitor,Sim,Monitores,9,832.0,7488.0,Barcelona,Espanha,María
2023-05-04,80,Licença Office 365,Sim,Software,9,378.0,3402.0,Los Angeles,Estados Unidos,John
2023-09-12,90,HD SSD,Não,Armazenamento,7,696.0,4872.0,Belo Horizonte,Brasil,Carlos
2023-04-17,30,Notebook,Sim,Computadores,8,3710.0,29680.0,New York,Estados Unidos,Alice
2023-09-07,35,Computador,Não,Computadores,3,2668.0,8004.0,Belo Horizonte,Brasil,João
2023-11-27,30,Notebook,Não,Computadores,9,4200.0,37800.0,Coimbra,Portugal,Sofia
2023-12-29,60,Cadeira,Sim,Móveis,4,366.0,1464.0,Chicago,Estados Unidos,Alice
2023-07-25,20,Monitor,Não,Monitores,4,896.0,3584.0,Chicago,Estados Unidos,Bob
2023-08-07,10,Mouse,Sim,Periféricos,3,114.0,342.0,Coimbra,Portugal,André
2024-02-06,95,Memória,Sim,Armazenamento,9,326.4,2937.6,New York,Estados Unidos,Bob
2023-10-25,10,Mouse,Sim,Periféricos,3,118.0,354.0,Porto,Portugal,Sofia
2023-08-31,10,Mouse,Não,Periféricos,10,114.0,1140.0,Coimbra,Portugal,Miguel
2023-07-29,80,Licença Office 365,Sim,Software,7,392.0,2744.0,Lisboa,Portugal,Miguel
2024-01-24,11,Teclado,Sim,Periféricos,4,150.0,600.0,New York,Estados Unidos,John
2023-03-31,10,Mouse,Sim,Periféricos,3,104.0,312.0,São Paulo,Brasil,Ana
2023-07-09,80,Licença Office 365,Não,Software,10,392.0,3920.0,Belo Horizonte,Brasil,Carlos
2024-01-05,50,Mesa,Não,Móveis,10,450.0,4500.0,Porto,Portugal,André
2023-08-31,35,Computador,Sim,Computadores,7,2622.0,18354.0,Los Angeles,Estados Unidos,Alice
2023-05-28,10,Mouse,Sim,Periféricos,10,108.0,1080.0,Belo Horizonte,Brasil,João
2023-05-13,50,Mesa,Não,Móveis,9,486.0,4374.0,Los Angeles,Estados Unidos,John
2024-01-11,70,Licença Windows,Sim,Software,3,900.0,2700.0,Porto,Portugal,André
2023-11-12,35,Computador,Sim,Computadores,5,2760.0,13800.0,Los Angeles,Estados Unidos,Bob
2023-09-06,70,Licença Windows,Sim,Software,6,1044.0,6264.0,Rio de Janeiro,Brasil,João
2023-11-22,90,HD SSD,Não,Armazenamento,5,720.0,3600.0,Porto,Portugal,Miguel
2024-01-12,95,Memória,Sim,Armazenamento,9,320.0,2880.0,São Paulo,Brasil,João
2024-01-12,23,Cabo HDMI,Sim,Periféricos,8,40.0,320.0,New York,Estados Unidos,John
2023-03-20,11,Teclado,Não,Periféricos,3,156.0,468.0,New York,Estados Unidos,John
2024-02-13,90,HD SSD,Sim,Armazenamento,8,612.0,4896.0,Porto,Portugal,Sofia
