ID Venda,Data da Venda,Código Produto,Nome Produto,Garantia Extendida,Categoria do Produto,Quantidade Vendido,Valor Unitário,Valor Total da Venda,Cidade da Loja,País da Loja,Vendedor
1,2023-11-14,70,Licença Windows,Sim,Software,9,1080.0,9720.0,New York,Estados Unidos,Alice
2,2024-02-28,35,Computador,Sim,Computadores,10,2346.0,23460.0,New York,Estados Unidos,Bob
3,2023-12-14,70,Licença Windows,Não,Software,7,1098.0,7686.0,Porto,Portugal,André
4,2023-05-27,30,Notebook,Não,Computadores,1,3780.0,3780.0,Belo Horizonte,Brasil,João
5,2023-08-31,90,HD SSD,Sim,Armazenamento,6,684.0,4104.0,Porto,Portugal,André
6,2023-07-25,70,Licença Windows,Sim,Software,6,1008.0,6048.0,Rio de Janeiro,Brasil,João
7,2024-02-11,96,Placa de Vídeo,Não,Periféricos,7,2244.0,15708.0,Porto,Portugal,André
8,2023-10-08,23,Cabo HDMI,Sim,Periféricos,8,47.2,377.6,Porto,Portugal,Miguel
9,2024-03-07,60,Cadeira,Sim,Móveis,2,312.0,624.0,São Paulo,Brasil,João
10,2023-12-08,80,Licença Office 365,Não,Software,3,427.0,1281.0,Valencia,Espanha,Carlos
11,2024-03-12,50,Mesa,Não,Móveis,7,468.0,3276.0,New York,Estados Unidos,John
12,2024-01-16,50,Mesa,Sim,Móveis,4,450.0,1800.0,New York,Estados Unidos,Alice
13,2023-03-30,96,Placa de Vídeo,Sim,Periféricos,4,2288.0,9152.0,Valencia,Espanha,María
14,2024-03-03,11,Teclado,Não,Periféricos,3,156.0,468.0,Belo Horizonte,Brasil,João
15,2023-09-02,23,Cabo HDMI,Não,Periféricos,8,46.4,371.2,Chicago,Estados Unidos,John
16,2023-06-16,96,Placa de Vídeo,Não,Periféricos,8,2420.0,19360.0,Los Angeles,Estados Unidos,Bob
17,2023-04-03,50,Mesa,Não,Móveis,7,477.0,3339.0,Valencia,Espanha,María
18,2023-06-20,35,Computador,Não,Computadores,3,2530.0,7590.0,New York,Estados Unidos,Alice
19,2023-12-12,50,Mesa,Sim,Móveis,10,549.0,5490.0,Los Angeles,Estados Unidos,Alice
20,2023-08-10,35,Computador,Sim,Computadores,7,2622.0,18354.0,Belo Horizonte,Brasil,Carlos
21,2024-01-03,80,Licença Office 365,Não,Software,2,350.0,700.0,Barcelona,Espanha,Carlos
